pairs,labels
George Best 91884705 9780091884703 384 August 1st 2002 Ebury Press   Blessed: The Autobiography [SEP] Theodore TEDDY ROOSEVELT [Winner of the Nobel Prize] Nook Edition (Part I of the Best Presidents Series incl. George Washington Abraham Lincoln) NOOKBook  2940013017061  12/19/12 Great American Presidents Biographies THE GREATEST AMERICAN PRESIDENT: THE AUTOBIOGRAPHY OF THEODORE ROOSEVELT (Worldwide Bestseller),0
"Peter Sallis 752881663 9780752881669 256 November 1st 2007 Orion Publishing   Fading into the Limelight: The Autobiography [SEP] Peter Sallis   9781782197454 288 4/1/14 ""John Blake Publishing  Limited""",0
Nina Simone 306813270 9780306813276 192 September 4th 2003 Da Capo Press Stephen Cleary  I Put a Spell on You: The Autobiography of Nina Simone [SEP] Nina Simone Stephen Cleary  9780679410683 192 2/25/92 Knopf Doubleday Publishing Group I Put a Spell on You: The Autobiography of Nina Simone,0
John C. Whitehead 465050549 9780465050543 304 June 1st 2005 Basic Books   A Life In Leadership: From D-Day to Ground Zero: An Autobiography [SEP] John C. Olin Joseph (Trans. ) O'Callaghan John (Ed.) Olin 9780823214808 113 10/5/93 Fordham University Press The Autobiography of St. Ignatius Loyola / Edition 1,0
Herbert W. Armstrong 943093058 9780943093055 0 1986 Worldwide Church of God   Autobiography of Herbert W. Armstrong (2 Volume Set) [SEP] Herbert W. Armstrong Philadelphia Church of God  9781304501332  12/5/13 Lulu.com Autobiography of Herbert W. Armstrong - Volume 1,0
Adam Ant 283070277 9780283070273 336 September 15th 2006 Sidgwick & Jackson Ltd   Stand and Deliver: The Autobiography [SEP] Adam Ant   9780283070273  4/30/07 Pan Macmillan Stand and Deliver: The Autobiography,1
Henri de Monfreid 883730065 9780883730065 287 January 28th 1973 Stonehill   Hashish;: The autobiography of a Red Sea smuggler [SEP] Henri de Monfreid   9780883730065 287 1/1/73 Stonehill Publishing Company Hashish: The Autobiography of a Red Sea Smuggler,1
Mark Twain 1484003187 9781484003183 306 April 1st 2013 Createspace   Chapters from My Autobiography [SEP] Mark Twain William Dean Howells Albert Bigelow Paine 9788026804642 840 2/27/14 e-artnow Editions The Mark Twain Autobiography + 3 Biographies: 4 Mark Twain Biographies In 1 Book: Chapters From My Autobiography By Mark Twain + My Mark Twain By William Dean Howells' + Mark Twain A Biography By Albert Bigelow Paine + The Boys' Life Of Mark Twain By Albe,0
"Mark Twain 1484003187 9781484003183 306 April 1st 2013 Createspace   Chapters from My Autobiography [SEP] Mark Twain   2940011919084  11/3/10 WHITE DOG PUBLISHING ""A Burlesque Autobiography and",0
"Mark Twain 1484003187 9781484003183 306 April 1st 2013 Createspace   Chapters from My Autobiography [SEP] Mark Twain   9780766161375 376 6/28/03 Kessinger Publishing Company ""Mark Twain's Autobiography",0
Booker T. Washngton 1500889555 9781500889555 198 August 20th 2014 Createspace   Up from Slavery an Autobiography [SEP] Booker T. Washington   9781300323471  10/20/12 Lulu.com Up from Slavery : An Autobiography (Illustrated),0
Harry Redknapp 2188732 9780002188739 256 October 4th 1999 Willow Derek McGovern  'Arry: An Autobiography [SEP] Harry Redknapp   9781407060736 432 10/10/13 Ebury Publishing Always Managing: My Autobiography,0
"Mary Harris Jones   169 July 2nd 2014 Mother Jones   The Autobiography of Mother Jones [SEP] Graham Jones as Told to Mary Alice Baker Ferguson   9781490850412 108 12/10/14 ""Nelson  Thomas",0
Thomas Henry Huxley   138 1909 Houghton Mifflin   Autobiography and Selected Essays [SEP] Thomas Henry Huxley   9781406589436 144 2/15/08 Dodo Press Autobiography And Selected Essays,0
Theodore Roosevelt   0  General Press   The Autobiography of Theodore Roosevelt [SEP] Theodore Roosevelt   9781931082655 864 10/28/04 Library of America The Rough Riders and An Autobiography,0
Black Hawk 252723252 9780252723254 192 March 1st 1975 University of Illinois Press Donald Jackson  Black Hawk: AN AUTOBIOGRAPHY [SEP] Black Hawk   9781602067615 160 10/15/07 Cosimo The Autobiography Of Black Hawk,0
"Mark Twain 766161366 9780766161368 386 June 5th 2003 Kessinger Publishin Albert Bigelow Paine  ""Mark Twain's Autobiography [SEP]  Part 1"" Mark Twain   9780520952447 440 3/26/12 University of California Press",0
"Mark Twain 766161366 9780766161368 386 June 5th 2003 Kessinger Publishin Albert Bigelow Paine  ""Mark Twain's Autobiography [SEP]  Part 1"" Mark Twain   2940011938245  10/1/10 Baxter St.",0
"Mark Twain 766161366 9780766161368 386 June 5th 2003 Kessinger Publishin Albert Bigelow Paine  ""Mark Twain's Autobiography [SEP]  Part 1"" Mark Twain William Dean Howells Albert Bigelow Paine 9788026804642 840 2/27/14 e-artnow Editions",0
"Mark Twain 766161366 9780766161368 386 June 5th 2003 Kessinger Publishin Albert Bigelow Paine  ""Mark Twain's Autobiography [SEP]  Part 1"" Mark Twain   9780766161375 376 6/28/03 Kessinger Publishing Company",1
"Mark Twain   0 February 27th 2014 e-artnow   ""The Complete Works of Mark Twain: The Novels [SEP]  short stories  essays and satires  travel writing  non-fiction  the complete letters  the complete speeches  and the autobiography of Mark Twain"" Mark Twain",0
Larry Rivers 1560253193 9781560253198 512 June 12th 2001 Da Capo Press Arnold Weinstein  What Did I Do?: The Unauthorized Autobiography of Larry Rivers [SEP] Larry Rivers Arnold Weinstein  9780060190071 498 10/1/92 HarperCollins Publishers What Did I Do?: The Unauthorized Autobiography of Larry Rivers,0
Jerry Spinelli 679887911 9780679887911 160 April 28th 1998 Ember   Knots in My Yo-Yo String: The Autobiography of a Kid [SEP] Jerry Spinelli   9780679887911 160 6/28/12 Random House Children's Books Knots in My Yo-yo String: The Autobiography of a Kid,1
Saburo Sakai 553110357 9780553110357 0   Martin Caidin Fred Saito Samurai! The Autobiography of Japan's Bravest Fighter Ace [SEP] Saburo Sakai   9781507795859 296 1/31/15 CreateSpace Publishing Samurai!: The Autobiography of Japan's World War Two Flying Ace,0
Swami Muktananda 911307818 9780911307818 368 January 1st 2000 Siddha Yoga Publications Swami Chidvilasananda Paul Muller-Ortega Play of Consciousness: A Spiritual Autobiography [SEP] Gurumayi Chidvilasananda   9780911307818 368 1/28/00 S Y D A Foundation Play of Consciousness: A Spiritual Autobiography,1
Anthony Trollope   0 September 1st 2014 Pearl Necklace Books   Anthony Trollope: An Autobiography [SEP] Anthony Trollope   9781297052828 272 2/16/15 Scholar's Choice Autobiography of Anthony Trollope - Scholar's Choice Edition,0
Granta: The Magazine of New Writing 140075674 9780140075670 256 May 1st 1999 Granta Books Bill Buford  Granta 14: Autobiography (Granta #14) [SEP] Dior: The Autobiography of Christian Dior   9781851776719 192 9/1/07 V&amp;A Publishing Dior,0
Granta: The Magazine of New Writing 140075674 9780140075670 256 May 1st 1999 Granta Books Bill Buford  Granta 14: Autobiography (Granta #14) [SEP] e to the City of Dreams: An Autobiography   9780730830061 296 1/1/04 Art Gallery of South Australia Good,0
"Granta: The Magazine of New Writing 140075674 9780140075670 256 May 1st 1999 Granta Books Bill Buford  Granta 14: Autobiography (Granta #14) [SEP] the author of 'The member'.   2940025991335    ""The Radical: an autobiography",0
George Crook 806119829 9780806119823 368 April 15th 1986 University of Oklahoma Press Martin F. Schmitt  General George Crook: His Autobiography [SEP] George Crook Martin F. Schmitt  9780806119823 370 4/28/86 University of Oklahoma Press General George Crook: His Autobiography,1
Chris Crutcher 60502517 9780060502515 272 October 5th 2004 Greenwillow Books   King of the Mild Frontier: An Ill-Advised Autobiography [SEP] Chris Crutcher   9780060502515 272 10/5/04 HarperCollins Publishers King of the Mild Frontier: An Ill-Advised Autobiography,1
"Graeme Swann   416 October 13th 2011 Hodder   Graeme Swann: The Breaks Are Off - My Autobiography: The Breaks Are Off - My Autobiography [SEP] Graeme Swann   9781444727395 432 10/13/11 ""Hodder &amp; Stoughton  Ltd.""",1
"Riccardo Muti 847837246 9780847837243 244 September 6th 2011 Rizzoli Ex Libris Marco Grondona  ""Riccardo Muti: An Autobiography: First the Music [SEP]  Then the Words"" Riccardo Muti   9780847837458  9/6/11 Rizzoli",0
"Alice Hamilton 930350812 9780930350819 433 October 15th 1985 Northeastern University Press   ""Exploring the Dangerous Trades: The Autobiography of Alice Hamilton [SEP]  M.D."" Alice Hamilton   9781443721219 472 11/4/08 Miller Press",0
"Xianyi Yang 9629960702 9789629960704 328 April 9th 2003 Chinese University Press Yang Xianyi  White Tiger: An Autobiography of Yang Xianyi [SEP] Yang Xianyi   9789629960704 328 4/9/03 ""Chinese University Press  The""",1
Earl W. Thomas 1861761562 9781861761569 0     The Autobiography Of A Seaman [SEP] Thomas W. Henry   9780878056903 128 5/1/94 University Press of Mississippi From Slavery to Salvation: The Autobiography of Rev. Thomas W. Henry of the A. M. E. Church,0
Ping-Ying Hsieh 863580521 9780863580529 216 January 1st 1986 Rivers Oram Press   Autobiography of a Chinese Girl [SEP] Ping-Ying Hsieh   9780863580529 224 2/1/86 Rivers Oram Press/Pandora Press Autobiography of a Chinese Girl,1
Quincy Jones 767905105 9780767905107 432 October 8th 2002 Three Rivers Press (CA)   Q: The Autobiography of Quincy Jones [SEP] Quincy Jones   9780385504744 416 4/23/02 Crown/Archetype Q: The Autobiography of Quincy Jones,0
Michael Smurfit 1781190127 9781781190128 330 April 4th 2014 Oak Tree Press (Ireland)   A Life Worth Living: The Autobiography [SEP] Michael Smurfit   9781781190135 328 4/4/14 Oak Tree Press A Life Worth Living: Michael Smurfit's Autobiography,1
"William Hale White 192825941 9780192825940 228 January 10th 1991 Oxford University Pres William S. Peterson Mark Rutherford The Autobiography Of Mark Rutherford: Dissenting Minister [SEP] William S. White   2940022699234   Richmond : Presbyterian Committee of Publication ""Rev. William S. White",0
"Myrlie Evers-Williams 465021778 9780465021772 400 May 31st 2005 Basic Civitas Books Manning Marable  ""The Autobiography of Medgar Evers: A Hero's Life and Legacy Revealed Through his Writings [SEP]  Letters  and Speeches"" Myrlie Evers-Williams Manning Marable  9780786722495 416 8/29/06",0
G.K. Chesterton 1586170716 9781586170714 336 April 30th 2006 Ignatius Press Randall Paine  The Autobiography of G. K. Chesterton [SEP] G. K. Chesterton   9781586170714 336 4/1/06 Ignatius Press The Autobiography of G. K. Chesterton,1
Robert Marion La Follette 299021947 9780299021948 366 November 15th 1960 University of Wisconsin Press Allan Nevins  La Follette's Autobiography: A Personal Narrative of Political Experiences [SEP] Robert Marion La Follette   2940029904119   The Robert M. LaFollette Co. La Follette's Autobiography: A Personal Narrative of Political Experiences ...,0
Blase Bonpane 1597096709 9781597096706 240 October 1st 2011 Red Hen Press   Imagine No Religion: The Autobiography of Blase Bonpane [SEP] Blase Bonpane Blase  9781597091800 214 1/1/12 Red Hen Press Imagine No Religion: The Autobiography of Blase Bonpane,1
Jon E. Lewis 1845299426 9781845299422 529 April 1st 2009 Robinson Publishing   London: The Autobiography [SEP] Jon E. Lewis   9781459642973 454 7/2/12 ReadHowYouWant.com Pty Limited Spitfire: The Autobiography: The Plane and the Men That Saved Britain in 1940 in Their Own Words (Large Print 16pt),0
Cowper Powys John 158567821X 9781585678211 704  Overlook Press John Cowper Powys  Autobiography [SEP] John Cowper Powys   9780571309467 662 12/19/13 Faber and Faber Autobiography,0
Charles Darwin   0  General Press   The Autobiography of Charles Darwin From the Life and Letters of Charles Darwin [SEP] Charles Darwin   9780199580149 544 6/6/10 Oxford University Press Evolutionary Writings: Including the Autobiographies,0
William C. Spengemann 300024738 9780300024739 0     Forms of Autobiography [SEP] WILLIAM C. ONYEBEKE   9781465319388 195 1/27/10 Xlibris US THE WOODCHOPPER: An African Cultural Autobiography,0
Myles Horton 807737003 9780807737002 167 July 2nd 1997 Teachers College Press Herbert R. Kohl Judith Kohl The Long Haul: An Autobiography [SEP] Myles Horton   9780807737002 256 8/1/03 Teachers College Press The Long Haul: An Autobiography / Edition 1,1
Teresa of Jesus 1783362480 9781783362486 372 June 4th 2013 Limovia.Net   The Life of St. Teresa of Jesus: Autobiography [SEP] St. Teresa of Avila   9780486475981 352 7/21/10 Dover Publications Autobiography of St. Teresa of Avila,0
Teresa of Jesus 1783362480 9781783362486 372 June 4th 2013 Limovia.Net   The Life of St. Teresa of Jesus: Autobiography [SEP] Teresa of Jesus   9781783360826  1/13/14 limovia.net The Life of St. Teresa of Jesus: Autobiography,1
"Kate Adie 075531073X 9780755310739 438 June 1st 2003 Headline Book Publishing   The Kindness of Strangers: The Autobiography [SEP] Kate Adie   9780755310739 448 6/1/03 ""Headline Book Publishing  Limited""",1
"Mark Twain 1441778411 9781441778413 0 November 15th 2010 Blackstone Audiobooks Harriet E. Smith Grover Gardner ""Autobiography of Mark Twain: The Complete and Authoritative Edition [SEP]  Volume 1  Part 2"" Mark Twain   9781477475539 406 5/25/12",0
"Mark Twain 1441778411 9781441778413 0 November 15th 2010 Blackstone Audiobooks Harriet E. Smith Grover Gardner ""Autobiography of Mark Twain: The Complete and Authoritative Edition [SEP]  Volume 1  Part 2"" Mark Twain   9781607788249  1/1/10",0
D.M.X. 60934034 9780060934033 352 October 21st 2003 It Books Smokey D. Fontaine  E.A.R.L.: The Autobiography of DMX [SEP] DMX Smokey D. Fontaine D 9780060934033 352 10/21/03 HarperCollins Publishers E.A.R.L.: The Autobiography of DMX,1
Alma H. Bond 913559482 9780913559482 224 May 1st 1998 Birch Brook Press   Autobiography of Maria Callas [SEP] Alma H. Bond Frank Eckmair  9780913559499 219 4/28/98 Birch Brook Press The Autobiography of Maria Callas,1
"Jawaharlal Nehru 370313135 9780370313139 648 September 27th 1989 Bodley Head   An Autobiography: Toward Freedom [SEP] Jawaharlal Nehru   9780195612202 684 2/1/81 ""Oxford University Press  USA""",0
"Samuel Smiles 1430449322 9781430449324 468 January 1st 2007 Kessinger Publishing   The Autobiography of Samuel Smiles [SEP] Samuel Jr. Smiles James Nasmyth  9783957388001 376 5/2/14 Vero Verlag ""James Nasmyth",0
"Leigh Hunt 1169907288 9781169907287 436 February 1st 2011 Kessinger Publishing   The Autobiography of Leigh Hunt [SEP] Leigh Hunt   2940017734315   New York : Harper &amp; Brothers ""The autobiography of Leigh Hunt",0
"Leigh Hunt 1169907288 9781169907287 436 February 1st 2011 Kessinger Publishing   The Autobiography of Leigh Hunt [SEP] Leigh Hunt   9781314131222 356 1/28/13 HardPress Publishing ""The Autobiography of Leigh Hunt",0
"Anthony Trollope 1594623198 9781594623196 336 August 29th 2006 Book Jungle   Autobiography of Anthony Trollope [SEP] Anthony Trollope   9781297173226 234 2/18/15 Scholar's Choice ""An Autobiography",0
One Direction 7596391 9780007596393 0 September 25th 2014 HarperCollins Publishers Ltd   One Direction: Who We are: Our Official Autobiography [SEP] One Direction   9780007577316 352 9/25/14 HarperCollins UK One Direction: Who We Are: Our Official Autobiography,1
"Thomas Jefferson   0     ""Works of Thomas Jefferson. Including The Jefferson Bible [SEP]  Autobiography and The Writings of Thomas Jefferson (Illustrated)  with Notes on Virginia  Parliamentary ... more."" Thomas Jefferson   9781607783091 ",0
"Thomas Jefferson   0     ""Works of Thomas Jefferson. Including The Jefferson Bible [SEP]  Autobiography and The Writings of Thomas Jefferson (Illustrated)  with Notes on Virginia  Parliamentary ... more."" Thomas Jefferson   9780812219012 200",0
"Thomas Jefferson   0     ""Works of Thomas Jefferson. Including The Jefferson Bible [SEP]  Autobiography and The Writings of Thomas Jefferson (Illustrated)  with Notes on Virginia  Parliamentary ... more."" Thomas Jefferson   2940021467605 ",0
Herbert Blau 9780472117  302 June 8th 2011 University of Michigan Press   As If: An Autobiography [SEP] Herbert Blau   9780472035144 302 10/31/12 University of Michigan Press As If: An Autobiography,0
Herbert Blau 9780472117  302 June 8th 2011 University of Michigan Press   As If: An Autobiography [SEP] Herbert Blau   9780472117789 302 5/31/11 University of Michigan Press As If: An Autobiography,1
Herbert Blau 472117785 9780472117789 302 June 8th 2011 University of Michigan Press   As If: An Autobiography [SEP] Herbert Blau   9780472035144 302 10/31/12 University of Michigan Press As If: An Autobiography,0
Buffalo Bill Cody 1495370070 9781495370076 196 January 30th 2014 Createspace   Buffalo Bill Cody: An Autobiography [SEP] Buffalo Bill   9781495225123 128 1/20/14 CreateSpace Independent Publishing Platform An Autobiography of Buffalo Bill (Colonel W. F. Cody),0
Michael Cole 805854991 9780805854992 276 October 1st 2005 Lawrence Erlbaum Associates Karl Levitin Alexander R. Luria The Autobiography of Alexander Luria: A Dialogue with the Making of Mind [SEP] Michael Cole Alexander R. Luria Karl Levitin 9780805854992 296 9/19/05 Taylor &amp; Francis The Autobiography of Alexander Luria A Dialogue With the Making of Mind,1
Herb Boyd 385492790 9780385492799 576 December 26th 2000 Anchor Books   Autobiography of a People: Three Centuries of African American History Told by Those Who Lived It [SEP] Those Who Lived It   9780385492799 576 12/28/00 Knopf Doubleday Publishing Group Autobiography of a People: Three Centuries of African American History Told,1
"Frank Lloyd Wright 764932438 9780764932434 561 January 1st 2005 Pomegranate Communications In   Frank Lloyd Wright: An Autobiography [SEP] Frank Lloyd Wright   9780764932434 561 4/28/05 ""Pomegranate Art Books  Incorporated""",1
"Benjamin Franklin 1596590459 9781596590458 0 June 6th 2006 Your Coach Digital   Wealth and Wisdom: The Way to Wealth and The Autobiography of Benjamin Franklin: Two Timeless American Classics That Still Speak to Us Today [SEP] Benjamin Franklin   2940017678008   ""New York  London",0
"Benjamin Franklin 1596590459 9781596590458 0 June 6th 2006 Your Coach Digital   Wealth and Wisdom: The Way to Wealth and The Autobiography of Benjamin Franklin: Two Timeless American Classics That Still Speak to Us Today [SEP] Benjamin Franklin   2940017484579   Philadelphia : J.B. Lippincott ; London : Trbner &amp; Co ""Autobiography of Benjamin Franklin : edited from his manuscript",0
Benjamin Franklin 1596590459 9781596590458 0 June 6th 2006 Your Coach Digital   Wealth and Wisdom: The Way to Wealth and The Autobiography of Benjamin Franklin: Two Timeless American Classics That Still Speak to Us Today [SEP] Benjamin Franklin   9781330154151 260 6/24/15 FB &amp;c Ltd Life of Benjamin Franklin: On the Basis of His Autobiography (Classic Reprint),0
Benjamin Franklin 1596590459 9781596590458 0 June 6th 2006 Your Coach Digital   Wealth and Wisdom: The Way to Wealth and The Autobiography of Benjamin Franklin: Two Timeless American Classics That Still Speak to Us Today [SEP] Benjamin Franklin   2940017335871   New York : D. Appleton and Company Autobiography ; Poor Richard ; Letters,0
"Benjamin Franklin 1596590459 9781596590458 0 June 6th 2006 Your Coach Digital   Wealth and Wisdom: The Way to Wealth and The Autobiography of Benjamin Franklin: Two Timeless American Classics That Still Speak to Us Today [SEP] Benjamin Franklin   2940017704479   ""Boston  New York [etc.] Houghton",0
"Benjamin Franklin 1596590459 9781596590458 0 June 6th 2006 Your Coach Digital   Wealth and Wisdom: The Way to Wealth and The Autobiography of Benjamin Franklin: Two Timeless American Classics That Still Speak to Us Today [SEP] Benjamin Franklin   2940017454565   ""London  J. M. Dent; New York",0
"Kathleen Raine 807608777 9780807608777 0  George Braziller   The Lion's Mouth: Concluding Chapters Of Autobiography [SEP] Kathleen Raine   9780807608777 192 2/1/78 ""Braziller  George Inc.""",1
"Hutchins Hapgood 1497389526 9781497389526 224 March 19th 2014 Createspace   The Autobiography of a Thief [SEP] Hutchins Hapgood   2940017335086   ""New York : Fox  Duffield""",0
"Benjamin Franklin 1616405511 9781616405519 320 November 1st 2011 Cosimo Classics   ""The Autobiography of Benjamin Franklin Including Poor Richard's Almanac [SEP]  and Familiar Letters"" Benjamin Franklin   9780553904987 384 4/29/08 Random House Publishing Group",0
"Benjamin Franklin 1616405511 9781616405519 320 November 1st 2011 Cosimo Classics   ""The Autobiography of Benjamin Franklin Including Poor Richard's Almanac [SEP]  and Familiar Letters"" Benjamin Franklin: 1757-1790   9781596985759 480 7/1/07 Regnery Publishing",0
"Benjamin Franklin 1616405511 9781616405519 320 November 1st 2011 Cosimo Classics   ""The Autobiography of Benjamin Franklin Including Poor Richard's Almanac [SEP]  and Familiar Letters"" Benjamin Franklin   9780940450295 1632 1/28/87 Library of America",0
"Benjamin Franklin 1616405511 9781616405519 320 November 1st 2011 Cosimo Classics   ""The Autobiography of Benjamin Franklin Including Poor Richard's Almanac [SEP]  and Familiar Letters"" Benjamin Franklin   9781297173585 248 2/18/15 Scholar's Choice",0
"Benjamin Franklin 1616405511 9781616405519 320 November 1st 2011 Cosimo Classics   ""The Autobiography of Benjamin Franklin Including Poor Richard's Almanac [SEP]  and Familiar Letters"" Benjamin Franklin   9781298188465 274 2/18/15 Scholar's Choice",0
"John C. Holmes   192 February 7th 2012 BearManor Media Laurie Holmes  Porn King: The Autobiography of John C. Holmes [SEP] John C. Hermon   9780717125913 280 1/1/97 ""Gill &amp; MacMillan  Limited""",0
S. Weir Mitchell 548563454 9780548563458 164 October 1st 2007 Kessinger Publishing A.J. Keller  The Autobiography of a Quack and the Case of George Dedlow (1900) [SEP] S. Weir Mitchell   2940024756683   New York : The Century Co. The youth of Washington : told in the form of an autobiography,0
Edwin Eastman   329     Seven and Nine years Among the Camanches and Apaches An Autobiography [SEP] Edwin Eastman   9783655257951  1/1/10 MVB E-Books Seven and Nine years Among the Camanches and Apaches An Autobiography,0
Edwin Eastman   329     Seven and Nine years Among the Camanches and Apaches An Autobiography [SEP] Edwin Eastman Clark Johnson  9781296853433 336 8/13/15 Andesite Press Seven And Nine Years Among The Camanches And Apaches: An Autobiography,0
Booker T. Washington   133     Up from Slavery: an autobiography [SEP] Booker T. Washington   9780806521831 330 1/28/01 Kensington Up From Slavery: The Autobiography Of Booker T. Washington: Aun Autobiography,0
"Joseph Bates 1883925444 9781883925444 318 2004 Andrews University Press   The Autobiography of Joseph Bates [SEP] Joseph Bates   9781479602872 174 3/31/14 ""TEACH Services  Inc.""",0
Harry Redknapp 91957575 9780091957575 432 October 1st 2013 Ebury Press   Always Managing: My Autobiography [SEP] Harry Redknapp   9781407060736 432 10/10/13 Ebury Publishing Always Managing: My Autobiography,1
