pairs,labels
incremental computation and maintenance of temporal aggregatesjun yang  jennifer widomvldb j.2003 [SEP] incremental maintenance of recursive views using relational calculus/sqlguozhu dong  jianwen suacm sigmod record2000,0
procedures in object-oriented query languageskazimierz subieta  jacek leszczylowski  yahiko kambayashivldb1995 [SEP] an effective deductive object-oriented database through language integrationmaria l. barja  norman w. paton  alvaro a. a. fernandes  m. howard williams  andrew dinnvery large data bases1994,0
opossum : desk-top schema management through customizable visualizationmiron livny  eben m. haber  yannis e. ioannidisvldb1995 [SEP] opossum : desk-top schema management through customizable visualizationeben m. haber  yannis e. ioannidis  miron livnyvery large data bases1995,1
dms : a parallel data mining serverfelicity a. w. georgevldb1998 [SEP] scalable parallel data mining for association ruleseui-hong han  george karypis  vipin kumarinternational conference on management of data1997,0
naos - efficient and modular reactive capabilities in an object-oriented database systemthierry coupaye  t. svensen  christine colletvldb1994 [SEP] naos - efficient and modular reactive capabilities in an object-oriented database systemchristine collet  thierry coupaye  t. svensenvery large data bases1994,1
user-adaptive exploration of multidimensional datasunita sarawagivldb2000 [SEP] a foundation for multi-dimensional databasesmarc gyssens  laks v. s. lakshmananvery large data bases1997,0
a query language for multidimensional arrays : design  implementation  and optimization techniqueslimsoon wong  rona machlin  leonid libkinsigmod conference1996 [SEP] a query language for multidimensional arrays : design  implementation  and optimization techniquesleonid libkin  rona machlin  limsoon wonginternational conference on management of data1996,1
comprehension syntaxlimsoon wong  dan suciu  val tannen  peter buneman  leonid libkinsigmod record1994 [SEP] comprehension syntaxpeter buneman  leonid libkin  dan suciu  val tannen  limsoon wongacm sigmod record1994,1
buffering accesses to memory-resident index structuresjingren zhou  kenneth a. rossvldb2003 [SEP] efficient index structures for string databasestamer kahveci  ambuj k. singhvery large data bases2001,0
secure transaction processing in firm real-time database systemsbinto george  jayant r. haritsasigmod conference1997 [SEP] revisiting commit processing in distributed database systemsramesh gupta  jayant haritsa  krithi ramamrithaminternational conference on management of data1997,0
semint : a system prototype for semantic integration in heterogeneous databaseswen-syan li  chris cliftonsigmod conference1995 [SEP] a scalable architecture for autonomous heterogeneous database interactionssteven milliner  athman bouguettaya  mike p. papazoglouvery large data bases1995,0
mining system audit data : opportunities and challengeswei fan  wenke leesigmod record2001 [SEP] amicalola report : database and information systems research challenges and opportunities in semantic web and enterprisesamit sheth  robert meersmanacm sigmod record2002,0
sit-in : a real-life spatio-temporal information systemstefano de francisci  rossella molinaro  orietta gargano  mario paolucci  leonardo tininini  giuseppe sindoni  paola patteri  amedea ambrosetti  pina ticca  cristina bedeschivldb2001 [SEP] environmental information systemsoliver g &#252; ntheracm sigmod record1997,0
partial results for online query processingjoseph m. hellerstein  vijayshankar ramansigmod conference2002 [SEP] sequence query processingpraveen seshadri  miron livny  raghu ramakrishnaninternational conference on management of data1994,0
beyond market baskets : generalizing association rules to correlationsrajeev motwani  sergey brin  craig silversteinsigmod conference1997 [SEP] beyond market baskets : generalizing association rules to correlationssergey brin  rajeev motwani  craig silversteininternational conference on management of data1997,1
tracing the lineage of view data in a warehousing environmentjanet l. wiener  yingwei cui  jennifer widomacm trans . database syst .2000 [SEP] lineage tracing for general data warehouse transformationsyingwei cui  jennifer widomvery large data bases2001,0
editorialpeter m. g. apers  stefano ceri  richard t. snodgrassvldb j.2002 [SEP] editorialrichard snodgrassacm transactions on database systems ( tods )2001,0
mining fuzzy association rules in databasesada wai-chee fu  man hon wong  chan man kuoksigmod record1998 [SEP] a new sql-like operator for mining association rulesrosa meo  giuseppe psaila  stefano cerivery large data bases1996,0
query optimization in the presence of limited access patternsdan suciu  ioana manolescu  daniela florescu  alon y. levysigmod conference1999 [SEP] minimization of tree pattern queriessihem amer-yahia  sungran cho  laks v. s. lakshmanan  divesh srivastavainternational conference on management of data2001,0
query optimization for selections using bitmapsming-chuan wusigmod conference1999 [SEP] query optimization in compressed database systemszhiyuan chen  johannes gehrke  flip korninternational conference on management of data2001,0
reminiscences on influential paperschristos h. papadimitriou  anant jhingran  yannis e. ioannidis  kenneth a. rosssigmod record2000 [SEP] reminiscences on influential paperskenneth a. rossacm sigmod record2003,0
user-defined table operators : enhancing extensibility for ordbmsbernhard mitschang  michael jaedickevldb1999 [SEP] user-defined table operators : enhancing extensibility for ordbmsmichael jaedicke  bernhard mitschangvery large data bases1999,1
distance browsing in spatial databaseshanan samet  gísli r. hjaltasonacm trans . database syst .1999 [SEP] selectivity estimation in spatial databasesswarup acharya  viswanath poosala  sridhar ramaswamyinternational conference on management of data1999,0
answering xml queries on heterogeneous data sourcesioana manolescu  donald kossmann  daniela florescuvldb2001 [SEP] describing and using query capabilities of heterogeneous sourcesvasilis vassalos  yannis papakonstantinouvery large data bases1997,0
index configuration in object-oriented databaseselisa bertinovldb j.1994 [SEP] a cost model for clustered object-oriented databasesgeorges gardarin  jean-robert gruser  zhao-hui tangvery large data bases1995,0
reminiscences on influential papersz. meral özsoyoglu  philip s. yu  nick roussopoulos  krithi ramamritham  alberto o. mendelzon  richard t. snodgrass  laura m. haas  jennifer widom  jan paredaenssigmod record1998 [SEP] influential papersken rossacm sigmod record2002,0
reminiscences on influential paperskaladhar voruganti  renée j. miller  kenneth a. ross  flip kornsigmod record2002 [SEP] reminiscences on influential papersrichard snodgrassacm sigmod record1998,0
filtering with approximate predicateshector garcia-molina  narayanan shivakumar  chandra chekurivldb1998 [SEP] filtering with approximate predicatesnarayanan shivakumar  hector garcia-molina  chandra chekurivery large data bases1998,1
sql query optimization : reordering for a general class of queriespiyush goel  balakrishna r. iyersigmod conference1996 [SEP] probabilistic optimization of top n queriesdonko donjerkovic  raghu ramakrishnanvery large data bases1999,0
hierarchical compact cube for range-max querieshua-gang li  sin yeung lee  tok wang lingvldb2000 [SEP] hierarchical compact cube for range-max queriessin yeung lee  tok wang ling  hua-gang livery large data bases2000,1
index configuration in object-oriented databaseselisa bertinovldb j.1994 [SEP] opt + + : an object-oriented implementation for extensible database query optimizationnavin kabra  david j. dewittthe vldb journal -- the international journal on very large data bases1999,0
further improvements on integrity constraint checking for stratifiable deductive databasessin yeung lee  tok wang lingvldb1996 [SEP] implementing deductive databases by mixed integer programmingcolin bell  anil nerode  raymond t. ng  v. s. subrahmanianacm transactions on database systems ( tods )1996,0
hierarchical prefix cubes for range-sum querieschee yong chan  yannis e. ioannidisvldb1999 [SEP] dynamic update cube for range-sum queriesseok-ju chun  chin-wan chung  ju-hong lee  seok-lyong leevery large data bases2001,0
hypergraph based reorderings of outer join queries with complex predicatesgautam bhargava  balakrishna r. iyer  piyush goelsigmod conference1995 [SEP] factorizing complex predicates in queries to exploit indexessurajit chaudhuri  prasanna ganesan  sunita sarawagiinternational conference on management of data2003,0
the aditi deductive database systemkotagiri ramamohanarao  david b. kemp  jayen vaghani  tim s. leask  james harland  peter j. stuckey  zoltan somogyivldb j.1994 [SEP] space optimization in deductive databasesdivesh srivastava  s. sudarshan  raghu ramakrishnan  jeffrey f. naughtonacm transactions on database systems ( tods )1995,0
static detection of security flaws in object-oriented databaseskeishi tajimasigmod conference1996 [SEP] unisql/x unified relational and object-oriented database systemwon kiminternational conference on management of data1994,0
strudel : a web-site management systemalon y. levy  mary f. fernandez  jaewoo kang  daniela florescu  dan suciusigmod conference1997 [SEP] using the calanda time series management systemwerner dreyer  angelika kotz dittrich  duri schmidtinternational conference on management of data1995,0
tree pattern query minimizationdivesh srivastava  sungran cho  laks v. s. lakshmanan  sihem amer-yahiavldb j.2002 [SEP] efficient algorithms for minimizing tree pattern queriesprakash ramananinternational conference on management of data2002,0
implementation of magic-sets in a relational database systeminderpal singh mumick  hamid piraheshsigmod conference1994 [SEP] on efficiently implementing schemasql on an sql database systemlaks v. s. lakshmanan  fereidoon sadri  subbu n. subramanianvery large data bases1999,0
a robust  optimization-based approach for approximate answering of aggregate queriesvivek r. narasayya  gautam das  surajit chaudhurisigmod conference2001 [SEP] the aqua approximate query answering systemswarup acharya  phillip b. gibbons  viswanath poosala  sridhar ramaswamyinternational conference on management of data1999,0
selectivity estimation for spatio-temporal queries to moving objectsyong-jin choi  chin-wan chungsigmod conference2002 [SEP] selectivity estimation in spatial databasesswarup acharya  viswanath poosala  sridhar ramaswamyinternational conference on management of data1999,0
on supporting containment queries in relational database management systemsguy m. lohman  david j. dewitt  qiong luo  jeffrey f. naughton  chun zhangsigmod conference2001 [SEP] integrating modelling systems for environmental management information systemsdavid j. abel  kerry taylor  dean kunacm sigmod record1997,0
vist : a dynamic index method for querying xml data by tree structureswei fan  sanghyun park  philip s. yu  haixun wangsigmod conference2003 [SEP] efficient index structures for string databasestamer kahveci  ambuj k. singhvery large data bases2001,0
foundations of preferences in database systemswerner kießlingvldb2002 [SEP] secure buffering in firm real-time database systemsbinto george  jayant r. haritsathe vldb journal -- the international journal on very large data bases2000,0
towards automated performance tuning for complex workloadsmichael j. carey  manish mehta  miron livny  kurt p. brownvldb1994 [SEP] towards automated performance tuning for complex workloadskurt p. brown  manish mehta  michael j. carey  miron livnyvery large data bases1994,1
book review columnkarl aberersigmod record2003 [SEP] book reviewskarl abereracm sigmod record2002,0
groupwise processing of relational querieskenneth a. ross  damianos chatziantoniouvldb1997 [SEP] cache conscious algorithms for relational query processingambuj shatdal  chander kant  jeffrey f. naughtonvery large data bases1994,0
efficiently instantiating view-objects from remote relational databasesgio wiederhold  byung suk leevldb j.1994 [SEP] converting relational to object-oriented databasesjoseph fongacm sigmod record1997,0
constructing the next 100 database management systemsandreas geppert  klaus r. dittrichsigmod record1994 [SEP] the mariposa distributed database management systemjeff sidellacm sigmod record1996,0
report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 )joachim hammersigmod record2002 [SEP] report on the fourth international conference on flexible query answering systems ( fqas 2000 )patrick bosc  amihai motro  gabriella pasiacm sigmod record2001,0
reminiscences on influential paperskenneth a. ross  kyuseok shim  mary f. fernandezsigmod record2002 [SEP] influential papersken rossacm sigmod record2002,0
index nesting - an efficient approach to indexing in object-oriented databasesjiawei han  beng chin ooi  hongjun lu  kian-lee tanvldb j.1996 [SEP] exact : an extensible approach to active object-oriented databasesoscar d &#237; az  arturo jaimethe vldb journal -- the international journal on very large data bases1997,0
mocha : a self-extensible database middleware system for distributed data sourcesmanuel rodriguez-martinez  nick roussopoulossigmod conference2000 [SEP] aqr-toolkit : an adaptive query routing middleware for distributed data intensive systemsling liu  calton pu  david buttler  wei han  henrique paques  wei tanginternational conference on management of data2000,0
the design and implementation of a sequence database systemraghu ramakrishnan  miron livny  praveen seshadrivldb1996 [SEP] the aggregate data problem : a system for their definition and managementm. rafanelli  a. bezenchek  l. tinininiacm sigmod record1996,0
approximating aggregate queries about web pages via random walksjittat fakcharoenphol  steve chien  ziv bar-yossef  alexander berg  dror weitzvldb2000 [SEP] a robust  optimization-based approach for approximate answering of aggregate queriessurajit chaudhuri  gautam das  vivek narasayyainternational conference on management of data2001,0
databases and visualizationdaniel a. keimsigmod conference1996 [SEP] delaunay : a database visualization systemisabel f. cruz  m. averbuch  wendy t. lucas  melissa radzyminski  kirby zhanginternational conference on management of data1997,0
closest pair queries in spatial databasesyannis theodoridis  yannis manolopoulos  antonio corral  michael vassilakopoulossigmod conference2000 [SEP] location-based spatial queriesjun zhang  manli zhu  dimitris papadias  yufei tao  dik lun leeinternational conference on management of data2003,0
materialized view selection and maintenance using multi-query optimizationkrithi ramamritham  hoshi mistry  prasan roy  s. sudarshansigmod conference2001 [SEP] outerjoin simplification and reordering for query optimizationc &#233; sar galindo-legaria  arnon rosenthalacm transactions on database systems ( tods )1997,0
adaptive algorithms for set containment joinshector garcia-molina  sergey melnikacm trans . database syst .2003 [SEP] 1-safe algorithms for symmetric site configurationsrune humborstad  maitrayi sabaratnam  svein-olaf hvasshovd  &#216; ystein torbj &#248; rnsenvery large data bases1997,0
book review columnkarl aberersigmod record2002 [SEP] book reviewsacm sigmod record2003,0
binding propagation in disjunctive databasessergio grecovldb1998 [SEP] tail recursion elimination in deductive databaseskenneth a. rossacm transactions on database systems ( tods )1996,0
krdb ' 98 : the 5th international workshop on knowledge representation meets databasesalexander borgida  martin staudt  vinay k. chaudhrisigmod record1998 [SEP] report on first international workshop on real-time database systemsazer bestavros  kwei-jay lin  sang sonacm sigmod record1996,0
indexing very high-dimensional sparse and quasi-sparse vectors for similarity searchesxiaoyang sean wang  changzhou wangvldb j.2001 [SEP] parallel algorithms for high-dimensional similarity joins for data mining applicationsjohn c. shafer  rakesh agrawalvery large data bases1997,0
towards on-line analytical mining in large databasesjiawei hansigmod record1998 [SEP] turbo-charging vertical mining of large databasespradeep shenoy  jayant r. haritsa  s. sundarshan  gaurav bhalotia  mayank bawa  devavrat shahinternational conference on management of data2000,0
dwms : data warehouse management systemnarendra mohanvldb1996 [SEP] the araneus web-based management systemg. mecca  p. atzeni  a. masci  g. sindoni  p. merialdointernational conference on management of data1998,0
editorialrichard t. snodgrassacm trans . database syst .2001 [SEP] guest editorialamr el abbadi  gunter schlageter  kyu-young whangthe vldb journal -- the international journal on very large data bases2001,0
tracing the lineage of view data in a warehousing environmentjanet l. wiener  yingwei cui  jennifer widomacm trans . database syst .2000 [SEP] lineage tracing for general data warehouse transformationsy. cui  j. widomthe vldb journal -- the international journal on very large data bases2003,0
influence sets based on reverse nearest neighbor queriess. muthukrishnan  flip kornsigmod conference2000 [SEP] nearest neighbor queriesnick roussopoulos  stephen kelley  fr &#233; d &#233; ric vincentinternational conference on management of data1995,0
repositories and object oriented databasesphilip a. bernsteinsigmod record1998 [SEP] metu object-oriented dbmsasuman dogac  budak arpinar  cem evrendilek  cetin ozkan  ilker altintas  ilker durusoy  mehmet altinel  tansel okay  yuksel saygininternational conference on management of data1994,0
groupwise processing of relational querieskenneth a. ross  damianos chatziantoniouvldb1997 [SEP] congressional samples for approximate answering of group-by queriesswarup acharya  phillip b. gibbons  viswanath poosalainternational conference on management of data2000,0
optimizing multi-feature queries for image databasesulrich güntzer  werner kießling  wolf-tilo balkevldb2000 [SEP] optimizing queries over multimedia repositoriessurajit chaudhuri  luis gravanointernational conference on management of data1996,0
static detection of security flaws in object-oriented databaseskeishi tajimasigmod conference1996 [SEP] description logics for semantic query optimization in object-oriented database systemsdomenico beneventano  sonia bergamaschi  claudio sartoriacm transactions on database systems ( tods )2003,0
the lyric language : querying constraint objectsalexander brodsky  yoram kornatzkysigmod conference1995 [SEP] themis : a database programming language handling integrity constraintsv &#233; ronique benzaken  anne doucetthe vldb journal -- the international journal on very large data bases1995,0
actiview : adaptive data presentation using supersqlmotomichi toyama  yoko maedavldb2001 [SEP] actiview : adaptive data presentation using supersqlyoko maeda  motomichi toyamavery large data bases2001,1
distance-based indexing for high-dimensional metric spacesz. meral özsoyoglu  tolga bozkayasigmod conference1997 [SEP] the x-tree : an index structure for high-dimensional datastefan berchtold  daniel a. keim  hans-peter kriegelvery large data bases1996,0
efficiently instantiating view-objects from remote relational databasesgio wiederhold  byung suk leevldb j.1994 [SEP] efficiently publishing relational data as xml documentsjayavel shanmugasundaram  eugene j. shekita  rimon barr  michael j. carey  bruce g. lindsay  hamid pirahesh  berthold reinwaldvery large data bases2000,0
dbsim : a simulation tool for predicting database performancecraig wong  mark stokrp  mike leflersigmod conference1996 [SEP] dbsim : a simulation tool for predicting database performancemark lefler  mark stokrp  craig wonginternational conference on management of data1996,1
report on the 8th international workshop on knowledge representation meets databases ( krdb )dan suciu  maurizio lenzerini  daniele nardi  werner nuttsigmod record2001 [SEP] report on ngits ' 99 : the fourth international workshop on next generation information technologies and systemsopher etzionacm sigmod record1999,0
on supporting containment queries in relational database management systemsguy m. lohman  david j. dewitt  qiong luo  jeffrey f. naughton  chun zhangsigmod conference2001 [SEP] querying multiple features of groups in relational databasesdamianos chatziantoniou  kenneth a. rossvery large data bases1996,0
efficient schemes for managing multiversionxml documentsshu-yao chien  carlo zaniolo  vassilis j. tsotrasvldb j.2002 [SEP] efficient filtering of xml documents for selective dissemination of informationmehmet altinel  michael j. franklinvery large data bases2000,0
data extraction and transformation for the data warehousecass squiresigmod conference1995 [SEP] data warehouse configurationdimitri theodoratos  timos k. sellisvery large data bases1997,0
weaving relations for cache performancemark d. hill  anastassia ailamaki  david j. dewitt  marios skounakisvldb2001 [SEP] dbsim : a simulation tool for predicting database performancemark lefler  mark stokrp  craig wonginternational conference on management of data1996,0
trex : dtd-conforming xml to xml transformationsxueqing gong  kun yue  aoying zhou  zhimao guo  jianchang xiao  wenfei fan  hongwei wu  qing wang  shihui zhengsigmod conference2003 [SEP] composing xsl transformations with xml publishing viewschengkai li  philip bohannon  p. p. s. narayaninternational conference on management of data2003,0
reminiscences on influential paperskenneth a. ross  kyuseok shim  mary f. fernandezsigmod record2002 [SEP] reminiscences in influential papersrichard snodgrassacm sigmod record1998,0
watermarking relational data : framework  algorithms and analysispeter j. haas  rakesh agrawal  jerry kiernanvldb j.2003 [SEP] a system for watermarking relational databasesrakesh agrawal  peter j. haas  jerry kiernaninternational conference on management of data2003,0
report on the fourth international conference on flexible query answering systemsgabriella pasi  amihai motro  patrick boscsigmod record2001 [SEP] report on fqas 2002 : fifth international conference on flexible query answering systemsamihai motro  troels andreasenacm sigmod record2003,0
why decision support fails and how to fix itkevin strehlo  ralph kimballsigmod record1995 [SEP] why decision support fails and how to fix itralph kimball  kevin strehloacm sigmod record1995,1
data extraction and transformation for the data warehousecass squiresigmod conference1995 [SEP] data warehousing and olap for decision supportsurajit chaudhuri  umeshwar dayalinternational conference on management of data1997,0
workshop report : the first international workshop on active and real-time database systems ( artdb-95 )mikael berndtsson  jörgen hanssonsigmod record1996 [SEP] report on ngits ' 99 : the fourth international workshop on next generation information technologies and systemsopher etzionacm sigmod record1999,0
reminiscences on influential paperskaladhar voruganti  renée j. miller  kenneth a. ross  flip kornsigmod record2002 [SEP] influential papersken rossacm sigmod record2002,0
discover : keyword search in relational databasesvagelis hristidis  yannis papakonstantinouvldb2002 [SEP] data page layouts for relational databases on deep memory hierarchiesanastassia ailamaki  david j. dewitt  mark d. hillthe vldb journal -- the international journal on very large data bases2002,0
constructing the next 100 database management systemsandreas geppert  klaus r. dittrichsigmod record1994 [SEP] data grid management systemsarun jagatheesan  arcot rajasekarinternational conference on management of data2003,0
views in a large-scale xml repositoryvincent aguilera  dan vodislav  pierangelo veltri  sophie cluet  tova milovldb j.2002 [SEP] views in a large-scale xml repositoryvincent aguilera  sophie cluet  tova milo  pierangelo veltri  dan vodislavthe vldb journal -- the international journal on very large data bases2002,1
automata theory for xml researchersfrank nevensigmod record2002 [SEP] automata theory for xml researchersfrank nevenacm sigmod record2002,1
infomaster : an information integration systemarthur m. keller  michael r. genesereth  oliver m. duschkasigmod conference1997 [SEP] environmental information systemsoliver g &#252; ntheracm sigmod record1997,0
implementation of two semantic query optimization techniques in db2 universal databasek. bernhard schiefer  fred koo  t. y. cliff leung  linqi liu  jarek gryz  xiaoyan qian  qi chengvldb1999 [SEP] investigation of algebraic query optimisation techniques for database programming languagesalexandra poulovassilis  carol smallvery large data bases1994,0
reminiscences on influential paperstheodore johnson  amr el abbadi  richard t. snodgrass  kenneth a. rosssigmod record2002 [SEP] reminiscences on influential paperskenneth a. rossacm sigmod record2003,0
adapting materialized views after redefinitionsashish gupta  inderpal singh mumick  kenneth a. rosssigmod conference1995 [SEP] rainbow : multi-xquery optimization using materialized xml viewsxin zhang  katica dimitrova  ling wang  maged el sayed  brian murphy  bradford pielech  mukesh mulchandani  luping ding  elke a. rundensteinerinternational conference on management of data2003,0
editor 's notesjennifer widomsigmod record1996 [SEP] editorialrichard snodgrassacm transactions on database systems ( tods )2001,0
automated resolution of semantic heterogeneity in multidatabasesa. r. hurson  simin h. pakzad  m. w. brightacm trans . database syst .1994 [SEP] semantic integration in heterogeneous databases using neural networkswen-syan li  chris cliftonvery large data bases1994,0
lambda-db : an odmg-based object-oriented dbmsarvind rajendran  david maier  leonidas fegaras  chandrasekhar srinivasansigmod conference2000 [SEP] metu object-oriented dbmsasuman dogac  budak arpinar  cem evrendilek  cetin ozkan  ilker altintas  ilker durusoy  mehmet altinel  tansel okay  yuksel saygininternational conference on management of data1994,0
a query language for a web-site management systemdan suciu  daniela florescu  alon y. levy  mary f. fernandezsigmod record1997 [SEP] catching the boat with strudel : experiences with a web-site management systemmary fern &#225; ndez  daniela florescu  jaewoo kang  alon levy  dan suciuinternational conference on management of data1998,0
applying update streams in a soft real-time database systembrad adelberg  hector garcia-molina  ben kaosigmod conference1995 [SEP] index concurrency control in firm real-time database systemsbrajesh goyal  jayant r. haritsa  s. seshadri  v. srinivasanvery large data bases1995,0
acm multimedia '94 conference workshop on multimedia database management systemsp. bruce berra  bhavani m. thuraisingham  kingsley c. nwosusigmod record1995 [SEP] a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database systemkun-lung wu  philip s. yu  jen-yao chung  james z. tengvery large data bases1995,0
aurora : a data stream management systemnesime tatbul  daniel j. abadi  c. erwin  anurag maskey  mitch cherniack  alex rasin  christian convey  a. singer  eduardo f. galvez  r. yan  ugur çetintemel  ying xing  stanley b. zdonik  michael stonebraker  donald carney  m. hatounsigmod conference2003 [SEP] the mariposa distributed database management systemjeff sidellacm sigmod record1996,0
a logical foundation for deductive object-oriented databasesmengchi liu  tok wang ling  gillian dobbieacm trans . database syst .2002 [SEP] a taxonomy for secure object-oriented databasesmartin s. olivier  sebastiaan h. von solmsacm transactions on database systems ( tods )1994,0
zoo : a desktop experiment management environmentmiron livny  yannis e. ioannidis  nagavamsi ponnekanti  shivani guptavldb1996 [SEP] zoo : a desktop experiment management environmentyannis e. ioannidis  miron livny  s. gupta  nagavamsi ponnekantivery large data bases1996,1
